MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
7/18/2023 10:40:32,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,0,1,0,0,nan,nan,0.06
7/18/2023 10:40:40,1.16.3,FR1_R,0,3.67,3,1,Pellet,Right,0,1,1,0,3.03,nan,nan
7/18/2023 10:41:00,1.16.3,FR1_R,0,3.68,nan,1,Right,Right,0,2,1,0,nan,nan,0.26
7/18/2023 10:41:02,1.16.3,FR1_R,0,3.68,1,1,Pellet,Right,0,2,2,0,1.13,22,nan
7/18/2023 10:41:51,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,0,3,2,0,nan,nan,0.03
7/18/2023 10:41:54,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,0,3,3,0,2.90,52,nan
7/18/2023 10:42:56,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,1,3,3,0,nan,nan,0.22
7/18/2023 10:42:58,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,2,3,3,0,nan,nan,0.36
7/18/2023 10:43:08,1.16.3,FR1_R,0,3.68,nan,1,Right,Right,2,4,3,0,nan,nan,0.02
7/18/2023 10:43:14,1.16.3,FR1_R,0,3.67,nan,1,LeftWithPellet,Right,3,4,3,0,nan,nan,0.22
7/18/2023 10:43:16,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,3,4,4,0,7.41,82,nan
7/18/2023 10:43:20,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,3,5,4,0,nan,nan,0.05
7/18/2023 10:43:24,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,3,5,5,0,3.28,8,nan
7/18/2023 10:44:04,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,4,5,5,0,nan,nan,0.05
7/18/2023 10:44:20,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,5,5,5,0,nan,nan,0.06
7/18/2023 10:45:58,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,6,5,5,0,nan,nan,0.03
7/18/2023 10:46:01,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,7,5,5,0,nan,nan,0.04
7/18/2023 10:46:55,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,8,5,5,0,nan,nan,0.20
7/18/2023 10:47:21,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,8,6,5,0,nan,nan,0.21
7/18/2023 10:47:25,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,8,6,6,0,3.60,241,nan
7/18/2023 10:51:15,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,9,6,6,0,nan,nan,0.06
7/18/2023 10:52:02,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,10,6,6,0,nan,nan,0.01
7/18/2023 10:53:20,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,11,6,6,0,nan,nan,0.02
7/18/2023 10:55:36,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,11,7,6,0,nan,nan,0.07
7/18/2023 10:55:37,1.16.3,FR1_R,0,3.68,1,1,Pellet,Right,11,7,7,0,0.81,492,nan
7/18/2023 10:55:43,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,11,8,7,0,nan,nan,0.17
7/18/2023 10:55:46,1.16.3,FR1_R,0,3.68,1,1,Pellet,Right,11,8,8,0,2.65,9,nan
7/18/2023 10:58:00,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,12,8,8,0,nan,nan,0.10
7/18/2023 11:02:57,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,13,8,8,0,nan,nan,0.05
7/18/2023 11:06:53,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,14,8,8,0,nan,nan,0.20
7/18/2023 11:20:48,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,15,8,8,0,nan,nan,0.35
7/18/2023 11:20:53,1.16.3,FR1_R,0,3.68,nan,1,Right,Right,15,9,8,0,nan,nan,0.03
7/18/2023 11:20:58,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,15,9,9,0,4.36,1512,nan
7/18/2023 11:21:39,1.16.3,FR1_R,0,3.68,nan,1,Left,Right,16,9,9,0,nan,nan,0.12
7/18/2023 11:22:18,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,16,10,9,0,nan,nan,0.10
7/18/2023 11:22:20,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,16,10,10,0,0.69,82,nan
7/18/2023 11:30:07,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,17,10,10,0,nan,nan,0.10
7/18/2023 11:30:21,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,17,11,10,0,nan,nan,0.37
7/18/2023 11:30:24,1.16.3,FR1_R,0,3.67,nan,1,RightWithPellet,Right,17,12,10,0,nan,nan,0.16
7/18/2023 11:30:25,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,17,12,11,0,3.37,485,nan
7/18/2023 11:30:47,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,18,12,11,0,nan,nan,0.03
7/18/2023 11:30:48,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,19,12,11,0,nan,nan,0.28
7/18/2023 11:30:50,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,20,12,11,0,nan,nan,0.03
7/18/2023 11:30:53,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,21,12,11,0,nan,nan,0.29
7/18/2023 11:30:55,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,22,12,11,0,nan,nan,0.61
7/18/2023 11:30:56,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,23,12,11,0,nan,nan,0.57
7/18/2023 11:31:00,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,24,12,11,0,nan,nan,0.24
7/18/2023 11:31:04,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,25,12,11,0,nan,nan,0.19
7/18/2023 11:31:08,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,26,12,11,0,nan,nan,0.25
7/18/2023 11:32:07,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,27,12,11,0,nan,nan,0.16
7/18/2023 11:32:26,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,27,13,11,0,nan,nan,0.23
7/18/2023 11:32:26,1.16.3,FR1_R,0,3.67,nan,1,RightDuringDispense,Right,27,14,11,0,nan,nan,0.01
7/18/2023 11:32:32,1.16.3,FR1_R,0,3.67,3,1,Pellet,Right,27,14,12,0,0.75,127,nan
7/18/2023 11:36:06,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,28,14,12,0,nan,nan,0.42
7/18/2023 11:36:10,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,29,14,12,0,nan,nan,0.14
7/18/2023 11:36:11,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,30,14,12,0,nan,nan,0.06
7/18/2023 11:36:16,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,31,14,12,0,nan,nan,0.04
7/18/2023 11:36:24,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,32,14,12,0,nan,nan,0.59
7/18/2023 11:36:26,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,33,14,12,0,nan,nan,0.48
7/18/2023 11:36:29,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,34,14,12,0,nan,nan,0.35
7/18/2023 11:40:47,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,34,15,12,0,nan,nan,0.21
7/18/2023 11:40:49,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,34,15,13,0,1.26,497,nan
7/18/2023 11:41:12,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,35,15,13,0,nan,nan,0.04
7/18/2023 11:41:14,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,36,15,13,0,nan,nan,0.60
7/18/2023 11:41:16,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,37,15,13,0,nan,nan,0.45
7/18/2023 11:41:19,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,38,15,13,0,nan,nan,0.49
7/18/2023 11:41:32,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,38,16,13,0,nan,nan,0.28
7/18/2023 11:41:33,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,38,16,14,0,0.63,44,nan
7/18/2023 11:41:49,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,39,16,14,0,nan,nan,0.03
7/18/2023 11:41:51,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,40,16,14,0,nan,nan,0.27
7/18/2023 11:41:53,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,41,16,14,0,nan,nan,0.32
7/18/2023 11:41:54,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,42,16,14,0,nan,nan,0.34
7/18/2023 11:41:56,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,43,16,14,0,nan,nan,0.24
7/18/2023 11:41:58,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,44,16,14,0,nan,nan,0.34
7/18/2023 11:42:00,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,44,17,14,0,nan,nan,0.02
7/18/2023 11:42:04,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,44,17,15,0,1.38,31,nan
7/18/2023 11:42:19,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,44,18,15,0,nan,nan,0.04
7/18/2023 11:42:21,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,44,18,16,0,0.56,17,nan
7/18/2023 11:42:53,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,45,18,16,0,nan,nan,0.09
7/18/2023 11:42:54,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,45,19,16,0,nan,nan,0.06
7/18/2023 11:42:55,1.16.3,FR1_R,0,3.67,nan,1,RightDuringDispense,Right,45,20,16,0,nan,nan,0.02
7/18/2023 11:42:58,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,45,20,17,0,0.50,37,nan
7/18/2023 11:44:49,1.16.3,FR1_R,0,3.68,nan,1,Right,Right,45,21,17,0,nan,nan,0.38
7/18/2023 11:44:51,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,45,21,18,0,0.50,113,nan
7/18/2023 11:45:05,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,45,22,18,0,nan,nan,0.07
7/18/2023 11:45:07,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,45,22,19,0,1.89,16,nan
7/18/2023 11:45:47,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,45,23,19,0,nan,nan,0.23
7/18/2023 11:45:49,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,45,23,20,0,0.56,41,nan
7/18/2023 11:46:21,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,45,24,20,0,nan,nan,0.21
7/18/2023 11:46:23,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,45,24,21,0,0.82,35,nan
7/18/2023 11:51:02,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,45,25,21,0,nan,nan,0.06
7/18/2023 11:51:03,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,45,25,22,0,0.75,280,nan
7/18/2023 12:14:01,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,46,25,22,0,nan,nan,0.23
7/18/2023 12:14:04,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,46,26,22,0,nan,nan,0.26
7/18/2023 12:14:06,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,46,26,23,0,1.89,1383,nan
7/18/2023 12:15:10,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,46,27,23,0,nan,nan,0.12
7/18/2023 12:15:14,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,46,27,24,0,1.19,68,nan
7/18/2023 12:29:39,1.16.3,FR1_R,0,3.68,nan,1,Left,Right,47,27,24,0,nan,nan,0.00
7/18/2023 12:29:46,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,48,27,24,0,nan,nan,0.18
7/18/2023 12:29:52,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,48,28,24,0,nan,nan,0.15
7/18/2023 12:29:53,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,48,28,25,0,0.63,879,nan
7/18/2023 12:30:17,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,49,28,25,0,nan,nan,0.14
7/18/2023 12:30:23,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,49,29,25,0,nan,nan,0.12
7/18/2023 12:30:26,1.16.3,FR1_R,0,3.67,nan,1,RightWithPellet,Right,49,30,25,0,nan,nan,0.29
7/18/2023 12:30:27,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,49,30,26,0,2.62,33,nan
7/18/2023 12:30:47,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,49,31,26,0,nan,nan,0.20
7/18/2023 12:30:50,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,49,31,27,0,2.34,24,nan
7/18/2023 12:31:01,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,50,31,27,0,nan,nan,0.30
7/18/2023 12:31:02,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,51,31,27,0,nan,nan,0.29
7/18/2023 12:31:09,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,52,31,27,0,nan,nan,0.04
7/18/2023 12:31:11,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,53,31,27,0,nan,nan,0.33
7/18/2023 12:31:15,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,54,31,27,0,nan,nan,0.28
7/18/2023 12:31:19,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,54,32,27,0,nan,nan,0.39
7/18/2023 12:31:20,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,54,32,28,0,0.63,30,nan
7/18/2023 12:31:45,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,55,32,28,0,nan,nan,0.30
7/18/2023 12:31:47,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,55,33,28,0,nan,nan,0.41
7/18/2023 12:31:49,1.16.3,FR1_R,0,3.67,nan,1,RightWithPellet,Right,55,34,28,0,nan,nan,0.18
7/18/2023 12:31:50,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,55,34,29,0,2.45,30,nan
7/18/2023 12:31:59,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,55,35,29,0,nan,nan,0.03
7/18/2023 12:31:59,1.16.3,FR1_R,0,3.67,nan,1,RightDuringDispense,Right,55,36,29,0,nan,nan,0.10
7/18/2023 12:32:04,1.16.3,FR1_R,0,3.68,2,1,Pellet,Right,55,36,30,0,2.15,14,nan
7/18/2023 12:32:25,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,55,37,30,0,nan,nan,0.02
7/18/2023 12:32:27,1.16.3,FR1_R,0,3.67,nan,1,RightWithPellet,Right,55,38,30,0,nan,nan,0.44
7/18/2023 12:32:28,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,55,38,31,0,2.13,24,nan
7/18/2023 12:32:44,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,56,38,31,0,nan,nan,0.37
7/18/2023 12:32:49,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,56,39,31,0,nan,nan,0.18
7/18/2023 12:32:51,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,56,39,32,0,0.88,23,nan
7/18/2023 12:33:13,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,56,40,32,0,nan,nan,0.10
7/18/2023 12:33:18,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,56,40,33,0,1.70,27,nan
7/18/2023 12:33:31,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,56,41,33,0,nan,nan,0.23
7/18/2023 12:33:34,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,56,41,34,0,2.34,16,nan
7/18/2023 12:33:53,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,56,42,34,0,nan,nan,0.24
7/18/2023 12:33:54,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,56,42,35,0,0.56,20,nan
7/18/2023 13:05:58,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,57,42,35,0,nan,nan,0.40
7/18/2023 13:16:54,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,43,35,0,nan,nan,0.19
7/18/2023 13:16:56,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,43,36,0,1.26,2582,nan
7/18/2023 13:18:05,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,44,36,0,nan,nan,0.39
7/18/2023 13:18:08,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,44,37,0,1.64,72,nan
7/18/2023 13:18:30,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,45,37,0,nan,nan,0.23
7/18/2023 13:18:33,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,57,45,38,0,0.56,25,nan
7/18/2023 13:18:50,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,46,38,0,nan,nan,0.02
7/18/2023 13:18:52,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,46,39,0,0.88,19,nan
7/18/2023 13:21:33,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,47,39,0,nan,nan,0.21
7/18/2023 13:21:35,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,47,40,0,0.56,163,nan
7/18/2023 13:21:57,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,48,40,0,nan,nan,0.19
7/18/2023 13:22:09,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,57,48,41,0,9.88,34,nan
7/18/2023 13:22:28,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,49,41,0,nan,nan,0.36
7/18/2023 13:22:29,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,57,49,42,0,0.63,20,nan
7/18/2023 13:36:02,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,50,42,0,nan,nan,0.19
7/18/2023 13:36:04,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,50,43,0,1.26,815,nan
7/18/2023 13:39:17,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,51,43,0,nan,nan,0.18
7/18/2023 13:39:19,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,51,44,0,0.75,194,nan
7/18/2023 13:43:16,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,52,44,0,nan,nan,0.27
7/18/2023 13:43:17,1.16.3,FR1_R,0,3.67,nan,1,RightWithPellet,Right,57,53,44,0,nan,nan,0.18
7/18/2023 13:43:19,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,53,45,0,1.62,241,nan
7/18/2023 13:43:42,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,54,45,0,nan,nan,0.12
7/18/2023 13:43:43,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,54,46,0,0.75,24,nan
7/18/2023 13:43:58,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,55,46,0,nan,nan,0.14
7/18/2023 13:44:01,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,57,55,47,0,0.50,18,nan
7/18/2023 13:44:25,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,56,47,0,nan,nan,0.36
7/18/2023 13:44:33,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,57,56,48,0,4.93,31,nan
7/18/2023 13:44:53,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,57,57,48,0,nan,nan,0.18
7/18/2023 13:44:54,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,57,57,49,0,0.50,22,nan
7/18/2023 13:45:17,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,58,57,49,0,nan,nan,0.27
7/18/2023 13:45:19,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,58,58,49,0,nan,nan,0.34
7/18/2023 13:45:23,1.16.3,FR1_R,0,3.67,2,1,Pellet,Right,58,58,50,0,2.91,29,nan
7/18/2023 13:54:31,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,58,59,50,0,nan,nan,0.13
7/18/2023 13:54:32,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,58,59,51,0,0.44,549,nan
7/18/2023 14:04:09,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,58,60,51,0,nan,nan,0.17
7/18/2023 14:04:10,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,58,60,52,0,0.50,578,nan
7/18/2023 14:04:30,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,59,60,52,0,nan,nan,0.31
7/18/2023 14:04:33,1.16.3,FR1_R,0,3.67,nan,1,Left,Right,60,60,52,0,nan,nan,0.10
7/18/2023 14:04:36,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,60,61,52,0,nan,nan,0.18
7/18/2023 14:04:37,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,60,61,53,0,0.56,27,nan
7/18/2023 14:11:41,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,60,62,53,0,nan,nan,0.11
7/18/2023 14:11:43,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,60,62,54,0,1.38,426,nan
7/18/2023 14:12:07,1.16.3,FR1_R,0,3.67,nan,1,Right,Right,60,63,54,0,nan,nan,0.10
7/18/2023 14:12:09,1.16.3,FR1_R,0,3.67,1,1,Pellet,Right,60,63,55,0,0.56,26,nan
