MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
10/3/2024 7:54:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,1,0,0,0,nan,nan,0.13
10/3/2024 7:58:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,2,0,0,0,nan,nan,0.16
10/3/2024 7:58:36,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,3,0,0,0,nan,nan,0.50
10/3/2024 7:58:39,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,4,0,0,0,nan,nan,0.24
10/3/2024 8:07:27,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,5,0,0,0,nan,nan,0.24
10/3/2024 8:07:30,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,6,0,0,0,nan,nan,0.09
10/3/2024 8:16:20,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,7,0,0,0,nan,nan,0.03
10/3/2024 8:16:23,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,8,0,0,0,nan,nan,0.20
10/3/2024 8:19:12,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,9,0,0,0,nan,nan,0.12
10/3/2024 8:24:02,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,10,0,0,0,nan,nan,0.20
10/3/2024 8:24:04,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,11,0,0,0,nan,nan,0.28
10/3/2024 8:24:06,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,12,0,0,0,nan,nan,0.47
10/3/2024 8:24:08,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,13,0,0,0,nan,nan,0.18
10/3/2024 8:24:11,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,14,0,0,0,nan,nan,0.12
10/3/2024 8:24:13,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,15,0,0,0,nan,nan,0.31
10/3/2024 8:24:15,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,16,0,0,0,nan,nan,0.20
10/3/2024 8:24:23,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,17,0,0,0,nan,nan,0.22
10/3/2024 8:24:25,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,18,0,0,0,nan,nan,0.19
10/3/2024 8:24:28,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,19,0,0,0,nan,nan,0.07
10/3/2024 8:24:32,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,20,0,0,0,nan,nan,0.24
10/3/2024 8:24:41,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,21,0,0,0,nan,nan,0.33
10/3/2024 8:24:45,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,22,0,0,0,nan,nan,0.07
10/3/2024 8:24:46,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,23,0,0,0,nan,nan,0.00
10/3/2024 8:24:49,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,24,0,0,0,nan,nan,0.13
10/3/2024 8:24:51,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,25,0,0,0,nan,nan,0.01
10/3/2024 8:24:59,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,26,0,0,0,nan,nan,0.13
10/3/2024 8:25:06,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,27,0,0,0,nan,nan,0.02
10/3/2024 8:25:07,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,28,0,0,0,nan,nan,0.03
10/3/2024 8:35:17,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,29,0,0,0,nan,nan,0.26
10/3/2024 8:35:18,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,30,0,0,0,nan,nan,0.00
10/3/2024 8:35:22,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,31,0,0,0,nan,nan,0.12
10/3/2024 8:35:26,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,32,0,0,0,nan,nan,0.45
10/3/2024 8:35:27,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,33,0,0,0,nan,nan,0.15
10/3/2024 8:35:38,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,34,0,0,0,nan,nan,0.25
10/3/2024 8:35:41,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,35,0,0,0,nan,nan,0.27
10/3/2024 8:35:41,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,36,0,0,0,nan,nan,0.00
10/3/2024 8:35:42,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,37,0,0,0,nan,nan,0.00
10/3/2024 8:35:48,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,38,0,0,0,nan,nan,0.45
10/3/2024 8:41:18,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,39,0,0,0,nan,nan,0.00
10/3/2024 8:50:17,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,40,0,0,0,nan,nan,0.06
10/3/2024 9:07:02,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,41,0,0,0,nan,nan,0.35
10/3/2024 9:07:03,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,42,0,0,0,nan,nan,0.08
10/3/2024 9:07:05,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,43,0,0,0,nan,nan,0.15
10/3/2024 9:07:08,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,44,0,0,0,nan,nan,0.11
10/3/2024 9:07:15,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,45,0,0,0,nan,nan,0.08
10/3/2024 9:11:08,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,46,0,0,0,nan,nan,0.03
10/3/2024 9:11:21,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,47,0,0,0,nan,nan,0.14
10/3/2024 9:11:27,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,48,0,0,0,nan,nan,0.40
10/3/2024 9:18:39,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,49,0,0,0,nan,nan,0.19
10/3/2024 9:18:44,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,50,0,0,0,nan,nan,0.50
10/3/2024 9:18:48,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,51,0,0,0,nan,nan,0.27
10/3/2024 9:18:58,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,52,0,0,0,nan,nan,0.19
10/3/2024 9:19:00,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,53,0,0,0,nan,nan,0.29
10/3/2024 9:24:51,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,54,0,0,0,nan,nan,0.30
10/3/2024 9:24:54,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,55,0,0,0,nan,nan,0.20
10/3/2024 9:24:56,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,56,0,0,0,nan,nan,0.55
10/3/2024 9:24:58,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,57,0,0,0,nan,nan,0.21
10/3/2024 9:25:01,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,58,0,0,0,nan,nan,0.47
10/3/2024 9:33:48,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,59,0,0,0,nan,nan,0.72
10/3/2024 9:33:54,1.16.3,RevT_R,0,4.06,nan,1,Right,Right,59,1,0,0,nan,nan,0.82
10/3/2024 9:33:56,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,59,1,1,0,1.40,nan,nan
10/3/2024 9:34:18,1.16.3,RevT_R,0,4.06,nan,1,Right,Right,59,2,1,0,nan,nan,0.10
10/3/2024 9:34:20,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,59,2,2,0,1.28,23,nan
10/3/2024 9:34:35,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,60,2,2,0,nan,nan,0.21
10/3/2024 9:34:37,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,61,2,2,0,nan,nan,0.30
10/3/2024 9:34:42,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,62,2,2,0,nan,nan,0.12
10/3/2024 9:34:44,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,63,2,2,0,nan,nan,0.44
10/3/2024 9:34:47,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,64,2,2,0,nan,nan,0.41
10/3/2024 9:34:52,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,65,2,2,0,nan,nan,0.15
10/3/2024 9:34:54,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,66,2,2,0,nan,nan,0.37
10/3/2024 9:34:55,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,67,2,2,0,nan,nan,0.41
10/3/2024 9:34:57,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,68,2,2,0,nan,nan,0.32
10/3/2024 9:34:58,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,69,2,2,0,nan,nan,0.15
10/3/2024 9:34:59,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,70,2,2,0,nan,nan,0.37
10/3/2024 9:35:29,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,71,2,2,0,nan,nan,0.46
10/3/2024 9:35:42,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,72,2,2,0,nan,nan,0.09
10/3/2024 9:35:43,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,73,2,2,0,nan,nan,0.02
10/3/2024 9:35:50,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,74,2,2,0,nan,nan,0.15
10/3/2024 9:35:55,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,75,2,2,0,nan,nan,0.12
10/3/2024 9:36:21,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,76,2,2,0,nan,nan,0.08
10/3/2024 9:43:13,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,77,2,2,0,nan,nan,0.24
10/3/2024 9:44:31,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,78,2,2,0,nan,nan,0.29
10/3/2024 9:44:33,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,79,2,2,0,nan,nan,0.11
10/3/2024 9:44:35,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,80,2,2,0,nan,nan,0.00
10/3/2024 9:46:14,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,80,3,2,0,nan,nan,0.15
10/3/2024 9:46:18,1.16.3,RevT_R,0,4.07,1,1,Pellet,Right,80,3,3,0,3.61,719,nan
10/3/2024 9:47:17,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,81,3,3,0,nan,nan,0.15
10/3/2024 9:47:18,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,82,3,3,0,nan,nan,0.16
10/3/2024 9:47:19,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,83,3,3,0,nan,nan,0.16
10/3/2024 9:47:29,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,83,4,3,0,nan,nan,0.13
10/3/2024 9:47:35,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,83,4,4,0,4.90,77,nan
10/3/2024 9:47:55,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,84,4,4,0,nan,nan,0.23
10/3/2024 9:47:57,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,85,4,4,0,nan,nan,0.43
10/3/2024 9:47:59,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,86,4,4,0,nan,nan,0.47
10/3/2024 9:48:02,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,87,4,4,0,nan,nan,0.21
10/3/2024 9:48:04,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,88,4,4,0,nan,nan,0.42
10/3/2024 9:49:58,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,88,5,4,0,nan,nan,0.02
10/3/2024 9:50:03,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,88,5,5,0,3.42,148,nan
10/3/2024 9:51:38,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,89,5,5,0,nan,nan,0.15
10/3/2024 9:53:12,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,90,5,5,0,nan,nan,0.12
10/3/2024 9:53:14,1.16.3,RevT_R,0,4.07,nan,1,Left,Right,91,5,5,0,nan,nan,0.32
10/3/2024 10:00:15,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,91,6,5,0,nan,nan,0.21
10/3/2024 10:00:18,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,91,6,6,0,2.87,615,nan
10/3/2024 10:00:42,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,91,7,6,0,nan,nan,0.42
10/3/2024 10:00:45,1.16.3,RevT_R,0,4.06,2,1,Pellet,Right,91,7,7,0,1.83,27,nan
10/3/2024 10:01:06,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,91,8,7,0,nan,nan,0.24
10/3/2024 10:01:11,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,91,8,8,0,4.03,26,nan
10/3/2024 10:01:20,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,92,8,8,0,nan,nan,0.01
10/3/2024 10:01:21,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,93,8,8,0,nan,nan,0.10
10/3/2024 10:01:22,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,94,8,8,0,nan,nan,0.06
10/3/2024 10:01:26,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,95,8,8,0,nan,nan,0.15
10/3/2024 10:02:55,1.16.3,RevT_R,0,4.06,nan,1,Right,Right,95,9,8,0,nan,nan,0.28
10/3/2024 10:02:56,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,95,9,9,0,0.91,105,nan
10/3/2024 10:04:42,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,96,9,9,0,nan,nan,0.38
10/3/2024 10:08:23,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,97,9,9,0,nan,nan,0.03
10/3/2024 10:08:24,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,98,9,9,0,nan,nan,0.09
10/3/2024 10:08:27,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,99,9,9,0,nan,nan,0.07
10/3/2024 10:12:39,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,100,9,9,0,nan,nan,0.12
10/3/2024 10:12:40,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,101,9,9,0,nan,nan,0.13
10/3/2024 10:12:41,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,102,9,9,0,nan,nan,0.14
10/3/2024 10:13:00,1.16.3,RevT_R,0,4.07,nan,1,Right,Right,102,10,9,0,nan,nan,0.05
10/3/2024 10:13:01,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,102,10,10,0,0.61,605,nan
10/3/2024 10:13:12,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,102,11,10,0,nan,nan,0.03
10/3/2024 10:13:17,1.16.3,RevT_R,0,4.06,2,1,Pellet,Right,102,11,11,0,1.40,16,nan
10/3/2024 10:16:28,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,103,11,11,0,nan,nan,0.07
10/3/2024 10:16:32,1.16.3,RevT_R,0,4.05,nan,1,Left,Right,104,11,11,0,nan,nan,0.24
10/3/2024 10:16:37,1.16.3,RevT_R,0,4.06,nan,1,Right,Right,104,12,11,0,nan,nan,0.09
10/3/2024 10:16:38,1.16.3,RevT_R,0,4.05,nan,1,RightDuringDispense,Right,104,13,11,0,nan,nan,0.03
10/3/2024 10:16:42,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,104,13,12,0,1.34,205,nan
10/3/2024 10:16:57,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,14,12,0,nan,nan,0.16
10/3/2024 10:17:04,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,104,14,13,0,6.37,22,nan
10/3/2024 10:17:16,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,15,13,0,nan,nan,0.13
10/3/2024 10:17:22,1.16.3,RevT_R,0,4.06,nan,1,RightWithPellet,Right,104,16,13,0,nan,nan,0.07
10/3/2024 10:17:24,1.16.3,RevT_R,0,4.05,nan,1,RightWithPellet,Right,104,17,13,0,nan,nan,0.52
10/3/2024 10:17:27,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,104,17,14,0,10.35,23,nan
10/3/2024 10:17:36,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,18,14,0,nan,nan,0.20
10/3/2024 10:17:38,1.16.3,RevT_R,0,4.06,nan,1,RightWithPellet,Right,104,19,14,0,nan,nan,0.15
10/3/2024 10:17:42,1.16.3,RevT_R,0,4.05,2,1,Pellet,Right,104,19,15,0,5.14,15,nan
10/3/2024 10:18:34,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,20,15,0,nan,nan,0.27
10/3/2024 10:18:37,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,104,20,16,0,2.26,55,nan
10/3/2024 10:19:05,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,21,16,0,nan,nan,0.08
10/3/2024 10:19:07,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,104,21,17,0,1.03,30,nan
10/3/2024 10:20:43,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,104,22,17,0,nan,nan,0.00
10/3/2024 10:20:48,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,104,22,18,0,3.85,101,nan
10/3/2024 10:20:56,1.16.3,RevT_R,0,4.06,nan,1,Right,Right,104,23,18,0,nan,nan,0.06
10/3/2024 10:20:58,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,104,23,19,0,1.16,10,nan
10/3/2024 10:21:40,1.16.3,RevT_R,0,4.06,nan,1,Left,Right,105,23,19,0,nan,nan,0.13
10/3/2024 10:21:42,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,24,19,0,nan,nan,0.13
10/3/2024 10:21:45,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,105,24,20,0,2.08,47,nan
10/3/2024 10:25:48,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,25,20,0,nan,nan,0.17
10/3/2024 10:25:50,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,105,25,21,0,1.09,245,nan
10/3/2024 10:31:00,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,26,21,0,nan,nan,0.23
10/3/2024 10:31:02,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,105,26,22,0,1.46,312,nan
10/3/2024 10:39:04,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,27,22,0,nan,nan,0.15
10/3/2024 10:39:06,1.16.3,RevT_R,0,4.06,1,1,Pellet,Right,105,27,23,0,0.85,484,nan
10/3/2024 10:43:22,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,28,23,0,nan,nan,0.17
10/3/2024 10:43:24,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,105,28,24,0,1.16,258,nan
10/3/2024 10:43:33,1.16.3,RevT_R,0,4.05,nan,1,Right,Right,105,29,24,0,nan,nan,0.19
10/3/2024 10:44:00,1.16.3,RevT_R,0,4.05,1,1,Pellet,Right,105,29,25,0,26.18,36,nan
10/3/2024 10:45:39,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,105,30,25,0,nan,nan,0.10
10/3/2024 10:51:05,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,106,30,25,0,nan,nan,0.16
10/3/2024 10:51:06,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,106,30,26,0,0.55,426,nan
10/3/2024 10:58:16,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,107,30,26,0,nan,nan,0.02
10/3/2024 10:58:20,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,107,30,27,0,3.49,434,nan
10/3/2024 10:58:32,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,108,30,27,0,nan,nan,0.19
10/3/2024 10:58:33,1.16.3,RevT_R,0,4.06,1,1,Pellet,Left,108,30,28,0,0.91,13,nan
10/3/2024 10:58:45,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,109,30,28,0,nan,nan,0.07
10/3/2024 10:58:46,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,109,30,29,0,0.55,13,nan
10/3/2024 10:59:04,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,109,31,29,0,nan,nan,0.20
10/3/2024 10:59:09,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,109,32,29,0,nan,nan,0.04
10/3/2024 11:04:14,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,110,32,29,0,nan,nan,0.15
10/3/2024 11:04:15,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,110,32,30,0,0.06,329,nan
10/3/2024 11:07:31,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,110,33,30,0,nan,nan,0.05
10/3/2024 11:08:01,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,110,34,30,0,nan,nan,0.02
10/3/2024 11:08:03,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,110,35,30,0,nan,nan,0.13
10/3/2024 11:13:11,1.16.3,RevT_R,0,4.06,nan,1,Left,Left,111,35,30,0,nan,nan,0.03
10/3/2024 11:13:12,1.16.3,RevT_R,0,4.05,2,1,Pellet,Left,111,35,31,0,0.30,537,nan
10/3/2024 11:13:23,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,111,36,31,0,nan,nan,0.11
10/3/2024 11:13:35,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,111,37,31,0,nan,nan,0.45
10/3/2024 11:22:00,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,112,37,31,0,nan,nan,0.07
10/3/2024 11:22:04,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,112,37,32,0,3.30,532,nan
10/3/2024 11:23:55,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,112,38,32,0,nan,nan,0.22
10/3/2024 11:23:58,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,112,39,32,0,nan,nan,0.33
10/3/2024 11:25:23,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,112,40,32,0,nan,nan,0.03
10/3/2024 11:25:54,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,113,40,32,0,nan,nan,0.15
10/3/2024 11:25:55,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,113,40,33,0,0.67,231,nan
10/3/2024 11:26:44,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,113,41,33,0,nan,nan,0.18
10/3/2024 11:29:51,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,114,41,33,0,nan,nan,0.14
10/3/2024 11:30:29,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,114,41,34,0,36.82,274,nan
10/3/2024 11:34:36,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,114,42,34,0,nan,nan,0.12
10/3/2024 11:34:39,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,114,43,34,0,nan,nan,0.33
10/3/2024 11:34:41,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,115,43,34,0,nan,nan,0.15
10/3/2024 11:34:43,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,115,43,35,0,0.61,254,nan
10/3/2024 11:34:52,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,115,44,35,0,nan,nan,0.03
10/3/2024 11:36:22,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,116,44,35,0,nan,nan,0.19
10/3/2024 11:43:52,1.16.3,RevT_R,0,4.05,nan,1,LeftWithPellet,Left,117,44,35,0,nan,nan,0.04
10/3/2024 11:43:55,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,117,44,36,0,Timed_out,552,nan
10/3/2024 11:44:08,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,118,44,36,0,nan,nan,0.04
10/3/2024 11:44:11,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,118,44,37,0,2.81,16,nan
10/3/2024 11:44:30,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,118,45,37,0,nan,nan,0.27
10/3/2024 11:44:31,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,118,46,37,0,nan,nan,0.14
10/3/2024 11:44:37,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,119,46,37,0,nan,nan,0.13
10/3/2024 11:44:39,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,119,46,38,0,0.91,28,nan
10/3/2024 11:45:13,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,120,46,38,0,nan,nan,0.12
10/3/2024 11:48:41,1.16.3,RevT_R,0,4.05,nan,1,LeftWithPellet,Left,121,46,38,0,nan,nan,0.16
10/3/2024 11:51:07,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,121,46,39,0,Timed_out,388,nan
10/3/2024 11:51:37,1.16.3,RevT_R,0,4.06,nan,1,Right,Left,121,47,39,0,nan,nan,0.08
10/3/2024 11:57:10,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,122,47,39,0,nan,nan,0.12
10/3/2024 11:59:22,1.16.3,RevT_R,0,4.05,nan,1,LeftWithPellet,Left,123,47,39,0,nan,nan,0.11
10/3/2024 11:59:22,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,123,47,40,0,Timed_out,495,nan
10/3/2024 11:59:34,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,124,47,40,0,nan,nan,0.12
10/3/2024 11:59:37,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,124,47,41,0,1.89,15,nan
10/3/2024 12:00:52,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,124,48,41,0,nan,nan,0.10
10/3/2024 12:01:26,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,124,49,41,0,nan,nan,0.20
10/3/2024 12:01:30,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,124,50,41,0,nan,nan,0.11
10/3/2024 12:04:15,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,125,50,41,0,nan,nan,0.14
10/3/2024 12:05:32,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,125,50,42,0,Timed_out,355,nan
10/3/2024 12:06:05,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,125,51,42,0,nan,nan,0.11
10/3/2024 12:10:13,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,125,52,42,0,nan,nan,0.07
10/3/2024 12:11:41,1.16.3,RevT_R,0,4.05,nan,1,Right,Left,125,53,42,0,nan,nan,0.08
10/3/2024 12:13:11,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,126,53,42,0,nan,nan,0.07
10/3/2024 12:13:56,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,126,53,43,0,45.05,504,nan
10/3/2024 12:14:07,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,127,53,43,0,nan,nan,0.11
10/3/2024 12:14:08,1.16.3,RevT_R,0,4.05,2,1,Pellet,Left,127,53,44,0,0.06,12,nan
10/3/2024 12:14:23,1.16.3,RevT_R,0,4.06,nan,1,Left,Left,128,53,44,0,nan,nan,0.21
10/3/2024 12:14:24,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,128,53,45,0,0.42,16,nan
10/3/2024 12:14:33,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,129,53,45,0,nan,nan,0.05
10/3/2024 12:14:34,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,129,53,46,0,0.61,10,nan
10/3/2024 12:14:55,1.16.3,RevT_R,0,4.05,nan,1,Left,Left,130,53,46,0,nan,nan,0.12
10/3/2024 12:14:56,1.16.3,RevT_R,0,4.05,1,1,Pellet,Left,130,53,47,0,0.79,22,nan
