MM:DD:YYYY hh:mm:ss,Library_Version,Session_type,Device_Number,Battery_Voltage,Motor_Turns,FR,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Block_Pellet_Count,Retrieval_Time,InterPelletInterval,Poke_Time
3/21/2024 17:33:21,1.16.3,RevT_L,0,4.03,nan,99,Right,Left,0,1,0,0,nan,nan,0.06
3/21/2024 17:36:32,1.16.3,RevT_L,0,4.03,nan,99,Right,Left,0,2,0,0,nan,nan,0.02
3/21/2024 17:43:55,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,1,2,0,0,nan,nan,0.76
3/21/2024 17:45:18,1.16.3,RevT_L,0,4.03,3,99,Pellet,Left,1,2,1,0,Timed_out,nan,nan
3/21/2024 17:45:32,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,2,2,1,0,nan,nan,0.02
3/21/2024 17:45:53,1.16.3,RevT_L,0,4.02,1,99,Pellet,Left,2,2,2,0,20.62,35,nan
3/21/2024 17:55:26,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,3,2,2,0,nan,nan,0.32
3/21/2024 17:55:31,1.16.3,RevT_L,0,4.03,1,99,Pellet,Left,3,2,3,0,4.47,578,nan
3/21/2024 17:56:11,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,4,2,3,0,nan,nan,0.03
3/21/2024 17:56:18,1.16.3,RevT_L,0,4.03,nan,99,RightWithPellet,Left,4,3,3,0,nan,nan,0.53
3/21/2024 17:56:20,1.16.3,RevT_L,0,4.03,1,99,Pellet,Left,4,3,4,0,7.99,49,nan
3/21/2024 17:57:15,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,5,3,4,0,nan,nan,0.25
3/21/2024 17:59:52,1.16.3,RevT_L,0,4.02,51,99,Pellet,Left,5,3,5,0,4.03,212,nan
3/21/2024 18:03:42,1.16.3,RevT_L,0,4.03,nan,99,Right,Left,5,4,5,0,nan,nan,0.17
3/21/2024 18:07:10,1.16.3,RevT_L,0,4.03,nan,99,Right,Left,5,5,5,0,nan,nan,0.02
3/21/2024 18:14:33,1.16.3,RevT_L,0,4.03,nan,99,Left,Left,6,5,5,0,nan,nan,0.54
3/21/2024 18:18:08,1.16.3,RevT_L,0,4.02,nan,99,RightDuringDispense,Left,6,6,5,0,nan,nan,0.21
3/21/2024 18:20:45,1.16.3,RevT_L,0,4.02,111,99,Pellet,Left,6,6,6,0,37.55,1253,nan
3/21/2024 18:21:29,1.16.3,RevT_L,0,4.02,nan,99,Left,Left,7,6,6,0,nan,nan,0.02
3/21/2024 18:21:30,1.16.3,RevT_L,0,4.02,nan,99,LeftDuringDispense,Left,8,6,6,0,nan,nan,0.25
3/21/2024 18:21:59,1.16.3,RevT_L,0,4.02,nan,99,LeftDuringDispense,Left,9,6,6,0,nan,nan,0.02
3/21/2024 18:25:55,1.16.3,RevT_L,0,4.01,nan,99,RightDuringDispense,Left,9,7,6,0,nan,nan,0.67
3/21/2024 18:28:33,1.16.3,RevT_L,0,4.02,111,99,Pellet,Left,9,7,7,0,Timed_out,468,nan
3/21/2024 18:29:07,1.16.3,RevT_L,0,4.02,nan,99,Right,Left,9,8,7,0,nan,nan,0.16
3/21/2024 18:35:59,1.16.3,RevT_L,0,4.02,nan,99,Left,Left,10,8,7,0,nan,nan,0.58
3/21/2024 18:39:55,1.16.3,RevT_L,0,4.01,nan,99,RightDuringDispense,Left,10,9,7,0,nan,nan,0.33
3/21/2024 18:46:15,1.16.3,RevT_L,0,4.02,181,99,Pellet,Left,10,9,8,0,Timed_out,1062,nan
3/21/2024 18:47:40,1.16.3,RevT_L,0,4.02,nan,99,Right,Left,10,10,8,0,nan,nan,0.70
3/21/2024 18:47:42,1.16.3,RevT_L,0,4.02,nan,99,Right,Left,10,11,8,0,nan,nan,0.93
3/21/2024 18:48:50,1.16.3,RevT_L,0,4.02,nan,99,Left,Left,11,11,8,0,nan,nan,0.60
3/21/2024 18:49:08,1.16.3,RevT_L,0,4.01,nan,99,RightDuringDispense,Left,11,12,8,0,nan,nan,0.07
3/21/2024 18:55:00,1.16.3,RevT_L,0,4.00,nan,99,RightDuringDispense,Left,11,13,8,0,nan,nan,0.37
3/21/2024 18:55:01,1.16.3,RevT_L,0,4.00,nan,99,RightDuringDispense,Left,11,14,8,0,nan,nan,0.52
3/21/2024 18:55:02,1.16.3,RevT_L,0,4.00,nan,99,RightDuringDispense,Left,11,15,8,0,nan,nan,0.25
3/21/2024 19:05:08,1.16.3,RevT_L,0,4.00,309,99,Pellet,Left,11,15,9,0,48.25,1133,nan
3/21/2024 19:12:23,1.16.3,RevT_L,0,4.00,nan,99,Left,Left,12,15,9,0,nan,nan,0.06
3/21/2024 19:12:25,1.16.3,RevT_L,0,4.00,2,99,Pellet,Left,12,15,10,0,0.12,437,nan
3/21/2024 19:14:05,1.16.3,RevT_L,0,4.00,nan,99,Left,Left,13,15,10,0,nan,nan,0.30
3/21/2024 19:14:22,1.16.3,RevT_L,0,4.00,3,99,Pellet,Left,13,15,11,0,12.08,117,nan
3/21/2024 19:16:58,1.16.3,RevT_L,0,4.00,nan,99,Left,Left,14,15,11,0,nan,nan,0.30
3/21/2024 19:17:00,1.16.3,RevT_L,0,4.00,nan,99,RightWithPellet,Left,14,16,11,0,nan,nan,0.57
3/21/2024 19:17:02,1.16.3,RevT_L,0,4.00,nan,99,RightWithPellet,Left,14,17,11,0,nan,nan,1.30
3/21/2024 19:17:05,1.16.3,RevT_L,0,4.00,2,99,Pellet,Left,14,17,12,0,6.24,163,nan
3/21/2024 19:21:16,1.16.3,RevT_L,0,4.00,nan,99,Right,Left,14,18,12,0,nan,nan,0.35
3/21/2024 19:24:38,1.16.3,RevT_L,0,4.00,nan,99,Right,Left,14,19,12,0,nan,nan,0.02
3/21/2024 19:24:40,1.16.3,RevT_L,0,4.00,nan,99,Left,Left,15,19,12,0,nan,nan,0.13
3/21/2024 19:24:45,1.16.3,RevT_L,0,4.00,nan,99,RightDuringDispense,Left,15,20,12,0,nan,nan,0.21
